SYMBOL,27-Nov-20,30-Oct-20,30-Sep-20,31-Aug-20,31-Jul-20,30-Jun-20,29-May-20,30-Apr-20,31-Mar-20,28-Feb-20,31-Jan-20
20MICRONS,32.1,28.4,28.25,30.95,28.6,32.4,26.15,29.05,25.55,31.2,34.9
21STCENMGM,9.7,9.85,9.9,10.45,10.4,10.9,10.7,11,10.8,12.3,14.3
3IINFOTECH,3.4,3,3.3,3.7,2.4,2.7,1.6,1.6,1.3,1.95,2.25
3MINDIA,21866.9,18675.35,18307.15,20264.45,21078,18795.25,18299.15,19400.2,18827.95,20575.25,22981.25
5PAISA,8.15,6.8,347.1,359.15,344.15,6.45,156.7,7.15,3.55,4.55,6.95
63MOONS,325.8,320.75,68.35,80.85,70.05,222.9,102.37,157.8,113.15,158.9,187.3
716GS2050,94.95,67.4,110,112,111,75.65,54.8,96.96,46.05,88.7,103.05
719GS2060,103,77.5,112.95,110,116,106.43,108.8,95,98.5,96.6,101
8KMILES,117,110.2,57.2,107.5,4,5.5,109,58.9,84,92.05,99
A2ZINFRA,111.3,115.28,4.05,110.23,43.35,19.85,114.03,109,3.15,87,7.4
AAKASH,129,87.45,51.8,113,1740.25,43,4,104.97,502.3,106.05,49.1
AARON,106.25,3.8,30.4,118,990.4,1270.55,14.75,117,766.75,4.5,614.5
AARTIDRUGS,86.4,42.7,771.3,5,246.05,931.4,40.7,126,7.95,47.25,985.1
AARTIIND,4.05,50.8,1014.95,47.2,10,11.8,972.25,107.08,21.2,692.95,13.6
AARTISURF,43,27.25,499.7,57.25,31.5,29.9,976.15,84,1188.85,976.05,27
AARVEEDEN,53.3,680.95,11,2712.15,1370.45,1339.25,8.45,3.8,14,12.2,1994.05
AARVI,61.55,1000.55,40.15,1047.7,23.35,33.3,1025.2,20,935.4,1878.85,25.45
AAVAS,715.05,560.85,1434.55,533.3,894.95,941.15,18.15,715.2,15451.1,20.25,1310.7
ABAN,1155.3,10.65,23.7,12.5,15536.35,15736.5,744.25,1102.4,42.15,1185,12498.8
ABB,1047.55,37.65,859.5,41.8,54.1,63.3,16723.4,9.2,152.9,15718.95,99.2
ABBOTINDIA,11.55,1431.4,16486.95,1402.9,124.7,125.3,45.85,1188,9.05,77.5,233.65
ABCAPITAL,38.9,22.75,62.2,27.1,9.45,224,119.9,20.45,235,251.4,11.4
ABFRL,1607.7,893.7,133.6,950.75,13.3,256.02,13,900.55,228,292,306.61
ABFRLPP,30.25,15298.15,74.7,16377.1,213.01,1332.25,176.71,17730.75,968.5,9.35,9
ABMINTLTD,1073.75,64.75,17,61.25,265.57,920,237.26,49.95,853,267.85,285.96
ABSLBANETF,15399.05,153.3,213.25,139.9,1425.45,32.55,1270.2,115.6,13.7,1320.85,7.5
